Date,Co measured in V ngm-3
2022-03-18,0.085
2022-03-19,0.079
2022-03-20,0.131
2022-03-21,0.051
2022-03-22,0.079
2022-03-23,0.055
2022-03-24,nan
2022-03-25,0.115
2022-03-26,0.038
2022-03-27,0.089
2022-03-28,0.121
2022-03-29,0.097
2022-03-30,0.089
2022-03-31,0.093
2022-04-01,0.103
2022-04-02,0.091
2022-04-03,0.131
2022-04-04,0.093
2022-04-05,0.089
2022-04-06,0.091
2022-04-07,0.135
2022-04-08,0.119
2022-04-09,0.075
2022-04-10,0.048
2022-04-11,0.109
2022-04-12,0.099
2022-04-13,0.103
2022-04-14,nan
2022-04-15,0.059
2022-04-16,0.115
2022-04-17,0.075
2022-04-18,0.105
2022-04-19,0.051
2022-04-20,0.075
2022-04-21,0.125
2022-04-22,0.073
2022-04-23,0.077
2022-04-24,0.143
2022-04-25,0.113
2022-04-26,0.113
2022-04-27,nan
2022-04-28,0.101
2022-04-29,0.083
2022-04-30,0.089
2022-05-01,0.105
2022-05-02,0.105
2022-05-03,0.095
2022-05-04,0.097
2022-05-05,0.105
2022-05-06,0.101
2022-05-07,0.087
2022-05-08,0.093
2022-05-09,0.093
2022-05-10,0.081
2022-05-11,0.075
2022-05-12,0.133
2022-05-13,0.081
2022-05-14,0.051
2022-05-15,0.048
2022-05-16,0.059
2022-05-17,0.113
2022-05-18,0.143
2022-05-19,0.053
2022-05-20,0.079
2022-05-21,0.123
2022-05-22,0.061
2022-05-23,nan
2022-05-24,0.067
2022-05-25,0.133
2022-05-26,0.055
2022-05-27,0.135
2022-05-28,0.099
2022-05-29,0.119
2022-05-30,0.105
2022-05-31,0.051
2022-06-01,0.121
2022-06-02,0.127
2022-06-03,0.059
2022-06-04,0.067
2022-06-05,0.105
2022-06-06,0.063
2022-06-07,0.091
2022-06-08,0.081
2022-06-09,0.085
2022-06-10,0.028
2022-06-11,0.105
2022-06-12,0.069
2022-06-13,0.093
2022-06-14,0.079
2022-06-15,nan
2022-06-16,0.069
2022-06-17,0.069
2022-06-18,0.095
2022-06-19,0.121
2022-06-20,0.087
2022-06-21,0.063
2022-06-22,0.121
2022-06-23,0.091
2022-06-24,0.109
2022-06-25,0.123
2022-06-26,0.079
2022-06-27,0.123
2022-06-28,0.091
2022-06-29,0.093
2022-06-30,0.105
2022-07-01,0.075
2022-07-02,0.105
2022-07-03,0.089
2022-07-04,0.095
2022-07-05,0.117
2022-07-06,0.075
2022-07-07,0.079
2022-07-08,0.141
2022-07-09,0.107
2022-07-10,0.079
2022-07-11,0.107
2022-07-12,0.075
2022-07-13,0.067
2022-07-14,0.121
2022-07-15,0.087
2022-07-16,0.121
2022-07-17,0.135
2022-07-18,0.046
2022-07-19,0.040
2022-07-20,0.107
2022-07-21,0.036
2022-07-22,0.073
2022-07-23,0.109
2022-07-24,0.121
2022-07-25,0.087
2022-07-26,0.051
2022-07-27,0.097
2022-07-28,0.057
2022-07-29,0.073
2022-07-30,0.089
2022-07-31,0.081
2022-08-01,0.093
2022-08-02,0.115
2022-08-03,0.101
2022-08-04,0.103
2022-08-05,0.101
2022-08-06,0.093
2022-08-07,0.135
2022-08-08,0.067
2022-08-09,0.105
2022-08-10,0.091
2022-08-11,0.123
2022-08-12,0.095
2022-08-13,0.119
2022-08-14,0.083
2022-08-15,0.097
2022-08-16,0.075
2022-08-17,0.101
2022-08-18,0.103
2022-08-19,0.069
2022-08-20,0.089
2022-08-21,0.091
2022-08-22,0.053
2022-08-23,0.099
2022-08-24,0.101
2022-08-25,nan
2022-08-26,0.113
2022-08-27,0.089
2022-08-28,0.097
2022-08-29,0.109
2022-08-30,0.073
2022-08-31,0.103
2022-09-01,0.123
2022-09-02,0.139
2022-09-03,0.103
2022-09-04,0.107
2022-09-05,0.085
2022-09-06,0.115
2022-09-07,0.055
2022-09-08,0.101
2022-09-09,0.119
2022-09-10,0.081
2022-09-11,0.117
2022-09-12,0.053
2022-09-13,0.095
2022-09-14,nan
